駅名,内幸町まで所要時間(分)
玉川上水,78
東久留米,63
稲城,63
東中神,81
柴崎体育館,82
立川,72
谷保,74
是政,75
甲州街道,85
玉川学園前,64
町田,62
中河原,70
一橋学園,73
国分寺,56
竹ノ塚,47
西府,71
こどもの国,75
昭島,85
矢川,76
綾瀬,33
堀切菖蒲園,47
恋ヶ窪,64
東伏見,55
稲城長沼,72
西立川,79
舎人,56
花小金井,63
谷在家,51
府中本町,73
京王多摩センター,72
松が谷,80
五月台,60
西武柳沢,58
若葉台,66
四ツ木,36
お花茶屋,45
京成小岩,46
田無,60
日野,67
新柴又,45
清瀬,66
鷹の台,66
江北,48
金町,39
大塚・帝京大学,90
国立,61
一之江,33
瑞江,36
矢野口,70
保谷,58
東大和市,75
成増,57
町屋,41
中神,83
西国分寺,59
西調布,67
立飛,87
栗平,62
舎人公園,53
ひばりヶ丘,61
西国立,78
上板橋,50
京成高砂,42
北赤羽,38
大泉学園,56
武蔵大和,84
小田急永山,72
千住大橋,40
柴又,55
小平,66
六町,45
見沼代親水公園,59
西高島平,39
多磨霊園,72
足立小台,44
青井,43
柴崎,58
西台,33
東武練馬,52
小岩,42
篠崎,38
新小岩,30
西新井大師西,50
亀有,37
赤羽,35
北綾瀬,40
葛西,29
武蔵新田,42
萩山,69
桜街道,88
大師前,55
平山城址公園,78
京王永山,70
飛田給,68
八広,34
高野,353
新百合ヶ丘,54
江戸川,50
京成金町,43
競艇場前,73
東小金井,51
京王多摩川,57
本蓮沼,26
小宮,86
板橋本町,24
京成立石,38
下赤塚,62
武蔵関,53
練馬,50
高島平,35
小菅,38
西新井,44
浮間舟渡,40
荒川区役所前,44
新高島平,37
つつじヶ丘,50
東府中,60
仙川,54
矢口渡,41
志村坂上,28
八幡山,51
上井草,63
蓮根,32
つくし野,62
梶原,43
蒲田,30
西永福,45
豊島園,54
千歳烏山,48
石神井公園,53
地下鉄赤塚,56
ときわ台,48
鶴川,60
成瀬,69
氷川台,43
南町田グランベリーパーク,66
上石神井,51
三ノ輪,34
国領,59
分倍河原,65
船堀,31
小台,50
芦花公園,51
鵜の木,45
武蔵小金井,53
南多摩,74
鷺ノ宮,46
谷塚,50
和泉多摩川,50
中板橋,47
富士見台,62
武蔵野台,71
練馬高野台,64
新小金井,70
井荻,61
曳舟,42
武蔵中原,44
踊場,61
藤沢,53
柳小路,70
生田,55
希望ケ丘,62
港町,41
西横浜,58
大口,57
上大岡,53
十日市場,74
藤沢本町,63
杉田,66
根岸,62
辻堂,57
鶴見,39
菊名,55
井土ヶ谷,51
東戸塚,47
西谷,56
日吉,35
新羽,64
生麦,55
本郷台,76
能見台,64
読売ランド前,56
中野島,65
川和町,60
鵠沼海岸,62
湘南台,81
中山,63
長後,84
稲村ヶ崎,80
川崎,37
三ツ沢上町,52
浜川崎,57
保土ケ谷,42
藤が丘,61
二俣川,57
三ツ沢下町,51
東門前,46
屏風浦,58
恩田,72
上永谷,63
弥生台,70
川崎大師,44
中田,63
東神奈川,45
白楽,59
立場,65
新横浜,45
金沢文庫,60
日吉本町,45
戸塚,44
いずみ中央,76
古淵,78
岸根公園,57
三ツ境,64
相模大野,65
百合ヶ丘,58
六会日大前,68
港南台,73
善行,65
弘明寺,53
羽沢横浜国大,50
安善,52
蒔田,71
横浜,44
小机,65
東林間,74
西鎌倉,69
尻手,46
大師橋,47
星川,61
磯子,65
港南中央,60
妙蓮寺,50
本鵠沼,60
緑園都市,67
山手,59
センター南,56
瀬谷,67
追浜,65
鶴間,70
長津田,60
洋光台,71
下永谷,66
宿河原,55
桜ヶ丘,77
矢向,47
東山田,49
上星川,62
茅ケ崎,60
高座渋谷,74
逗子,67
黒川,64
鵠沼,71
東白楽,58
鈴木町,43
黄金町,47
日ノ出町,46
南万騎が原,65
武蔵白石,54
淵野辺,81
高田,171
鴨居,68
六浦,62
新杉田,67
下飯田,68
大倉山,43
上溝,101
綱島,41
つきみ野,68
大磯,69
市が尾,59
和田町,63
あざみ野,52
大船,56
富士見町,62
片倉町,55
平間,51
久地,53
金沢八景,62
片瀬江ノ島,64
鶴ケ峰,56
中川,71
登戸,47
高津,41
新川崎,30
反町,56
吉野町,61
横須賀中央,72
武蔵新城,47
鷺沼,48
目白山下,73
稲田堤,67
田奈,64
溝の口,63
湘南海岸公園,75
新綱島,40
片瀬山,71
仲町台,67
鎌倉高校前,86
京王稲田堤,61
青葉台,57
花月総持寺,54
湘南深沢,66
海の公園柴口,79
柿生,58
梶が谷,46
宮前平,49
たまプラーザ,50
